"","Images","Masks"
"1","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/0.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/0.png"
"2","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/1.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/1.png"
"3","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/10.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/10.png"
"4","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/100.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/100.png"
"5","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/101.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/101.png"
"6","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/102.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/102.png"
"7","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/103.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/103.png"
"8","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/104.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/104.png"
"9","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/105.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/105.png"
"10","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/106.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/106.png"
"11","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/107.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/107.png"
"12","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/108.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/108.png"
"13","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/109.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/109.png"
"14","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/11.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/11.png"
"15","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/110.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/110.png"
"16","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/111.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/111.png"
"17","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/112.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/112.png"
"18","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/113.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/113.png"
"19","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/114.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/114.png"
"20","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/115.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/115.png"
"21","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/116.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/116.png"
"22","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/117.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/117.png"
"23","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/118.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/118.png"
"24","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/119.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/119.png"
"25","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/12.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/12.png"
"26","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/120.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/120.png"
"27","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/121.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/121.png"
"28","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/122.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/122.png"
"29","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/123.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/123.png"
"30","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/124.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/124.png"
"31","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/125.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/125.png"
